법령용어명,법령내용
080착신과금사업자,"{'LsTrmService': {'법령용어일련번호': '4350393', '법령용어명_한글': '080착신과금사업자', '법령용어명_한자': '080착신과금사업자', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '시내전화서비스 등 번호이동성 시행에 관한 기준[과학기술정보통신부고시 제2023-40호, 2023.11.9., 일부개정]', '법령용어정의': '착신과금서비스를 제공하는 기간통신사업자를 말한다.'}}"
080착신과금서비스,"{'LsTrmService': {'법령용어일련번호': '4350383', '법령용어명_한글': '080착신과금서비스', '법령용어명_한자': '080착신과금서비스', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '시내전화서비스 등 번호이동성 시행에 관한 기준[과학기술정보통신부고시 제2023-40호, 2023.11.9., 일부개정]', '법령용어정의': '「전기통신사업법」 제2조제11호에 따른 기간통신역무 중 공통서비스 식별번호 080을 사용하여 수신자요금부담서비스를 제공하는 서비스를 말한다.'}}"
10기가급인터넷서비스,"{'LsTrmService': {'법령용어일련번호': ['4082648', '4083875'], '법령용어명_한글': ['10기가급인터넷서비스', '10기가급인터넷서비스'], '법령용어명_한자': ['10기가급인터넷서비스', '10기가급인터넷서비스'], '법령용어코드': ['011402', '011402'], '법령용어코드명': ['법령정의사전', '법령정의사전'], '출처': ['전기통신역무 선택에 필요한 정보 제공 기준[과학기술정보통신부고시 제2019-27호, 2019.6.10., 일부개정]', '신의료기술의 안전성·유효성 평가결과 고시[보건복지부고시 제2019-105호, 2019.6.10., 일부개정]'], '법령용어정의': ['하향 전송속도가 2.5Gbps 이상인 인터넷가입자접속서비스를 말한다.', '하향 전송속도가 2.5Gbps 이상인 인터넷가입자접속서비스를 말한다.']}}"
110콜센터,"{'LsTrmService': {'법령용어일련번호': '630294', '법령용어명_한글': '110콜센터', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': '110 Government Call Center'}}"
112,"{'LsTrmService': {'법령용어일련번호': '5113733', '법령용어명_한글': '112', '법령용어명_한자': '112', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '112신고의 운영 및 처리에 관한 법률[법률 제19870호, 2024.1.2., 제정]', '법령용어정의': '「전기통신사업법」 제48조에 따른 전기통신번호자원 관리계획에 따라 부여하는 특수번호인 112를 말한다.'}}"
112시스템,"{'LsTrmService': {'법령용어일련번호': '5135644', '법령용어명_한글': '112시스템', '법령용어명_한자': '112시스템', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '112치안종합상황실 운영 및 신고처리 규칙[경찰청예규 제633호, 2024.7.24., 전부개정]', '법령용어정의': '112신고의 접수, 지령, 전파 및 순찰차 배치에 활용하는 전산 시스템을 말한다.'}}"
112신고,"{'LsTrmService': {'법령용어일련번호': '5113734', '법령용어명_한글': '112신고', '법령용어명_한자': '112신고', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '112신고의 운영 및 처리에 관한 법률[법률 제19870호, 2024.1.2., 제정]', '법령용어정의': '범죄나 각종 사건ㆍ사고 등 위급한 상황이 발생하였거나 발생할 것이 예상될 때 그 피해자 또는 이를 인지한 사람이 112를 이용한 음성, 문자 신고와 그 밖의 인터넷, 영상, 스마트기기 등을 통하여 신고하는 것을 말한다.'}}"
112치안종합상황실,"{'LsTrmService': {'법령용어일련번호': '5135640', '법령용어명_한글': '112치안종합상황실', '법령용어명_한자': '112치안종합상황실', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '112치안종합상황실 운영 및 신고처리 규칙[경찰청예규 제633호, 2024.7.24., 전부개정]', '법령용어정의': '112신고의 처리와 대응 등을 위해 경찰청, 시ㆍ도경찰청 및 경찰서에 설치ㆍ운영하는 부서를 말한다.'}}"
112치안종합상황실장,"{'LsTrmService': {'법령용어일련번호': '5135641', '법령용어명_한글': '112치안종합상황실장', '법령용어명_한자': '112치안종합상황실장', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '112치안종합상황실 운영 및 신고처리 규칙[경찰청예규 제633호, 2024.7.24., 전부개정]', '법령용어정의': '112치안종합상황실의 운영ㆍ관리를 책임지고 근무자를 지휘ㆍ감독하는 사람(경찰기관의 장이 「치안상황실 운영규칙」에 따른 ""상황관리관""을 지정한 경우 ""상황관리관""은 ""112치안종합상황실장""으로 본다)을 말하며, 각급 경찰기관 112치안종합상황실장은 다음 각 목과 같다. \n가. 경찰청: 치안상황관리관 \n나. 시ㆍ도경찰청: 112치안종합상황실장 \n다. 경찰서: 범죄예방대응과장'}}"
119,"{'LsTrmService': {'법령용어일련번호': '5113735', '법령용어명_한글': '119', '법령용어명_한자': '119', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '119긴급신고의 관리 및 운영에 관한 법률[법률 제19872호, 2024.1.2., 제정]', '법령용어정의': '「전기통신사업법」 제48조에 따른 전기통신번호자원 관리계획에 따라 부여하는 특수번호인 119를 말한다.'}}"
